version,bodies,threads,runtime
sequential,64,1,0.00192332
parallel,64,2,0.00125205
parallel,64,4,0.000721659
parallel,64,8,0.000898799
parallel,64,16,0.0944121
sequential,512,1,0.126864
parallel,512,2,0.0677741
parallel,512,4,0.0423596
parallel,512,8,0.0327009
parallel,512,16,0.0313452
sequential,1024,1,0.499201
parallel,1024,2,0.249862
parallel,1024,4,0.15603
parallel,1024,8,0.125446
parallel,1024,16,0.0677038
sequential,2048,1,1.95857
parallel,2048,2,1.04365
parallel,2048,4,0.622494
parallel,2048,8,0.485095
parallel,2048,16,0.38552
sequential,4096,1,7.90678
parallel,4096,2,4.08065
parallel,4096,4,2.38397
parallel,4096,8,1.60591
parallel,4096,16,1.25806
sequential,8192,1,31.0245
parallel,8192,2,16.2024
parallel,8192,4,9.41506
parallel,8192,8,6.22823
parallel,8192,16,4.57352
sequential,16384,1,125.015
parallel,16384,2,65.8037
parallel,16384,4,36.3815
parallel,16384,8,22.598
parallel,16384,16,18.222
sequential,32768,1,497.637
parallel,32768,2,262.011
parallel,32768,4,145.855
parallel,32768,8,86.8552
parallel,32768,16,70.7122
