step,id,x,y,z
0,0,4.79393e+08,2.97643e+09,1.1872e+08
0,1,1.62685e+09,1.71493e+08,1.89459e+09
0,2,2.52677e+09,2.71889e+09,1.26945e+09
0,3,2.79128e+09,1.03316e+09,7.63853e+08
0,4,2.37056e+09,2.08627e+09,1.67303e+09
0,5,4.37459e+08,1.7378e+09,1.69367e+09
0,6,4.50507e+08,5.98132e+07,1.66323e+09
0,7,1.16445e+09,2.78636e+09,5.39384e+08
0,8,1.4285e+09,7.71272e+08,2.94121e+09
0,9,4.78637e+08,2.01018e+09,2.30329e+09
1,0,4.7942e+08,2.97641e+09,1.18745e+08
1,1,1.62683e+09,1.71519e+08,1.89459e+09
1,2,2.52675e+09,2.71885e+09,1.26946e+09
1,3,2.79126e+09,1.03318e+09,7.6387e+08
1,4,2.37055e+09,2.08628e+09,1.67301e+09
1,5,4.37482e+08,1.73781e+09,1.69372e+09
1,6,4.5053e+08,5.98361e+07,1.66323e+09
1,7,1.16444e+09,2.78635e+09,5.39389e+08
1,8,1.4285e+09,7.71278e+08,2.94118e+09
1,9,4.78652e+08,2.01016e+09,2.30325e+09
2,0,4.7946e+08,2.97639e+09,1.18784e+08
2,1,1.6268e+09,1.71559e+08,1.8946e+09
2,2,2.52671e+09,2.71879e+09,1.26948e+09
2,3,2.79123e+09,1.0332e+09,7.63894e+08
2,4,2.37053e+09,2.08631e+09,1.67297e+09
2,5,4.37517e+08,1.73783e+09,1.69378e+09
2,6,4.50565e+08,5.98705e+07,1.66325e+09
2,7,1.16441e+09,2.78634e+09,5.39396e+08
2,8,1.42849e+09,7.71287e+08,2.94113e+09
2,9,4.78675e+08,2.01012e+09,2.30319e+09
3,0,4.79513e+08,2.97636e+09,1.18835e+08
3,1,1.62677e+09,1.71612e+08,1.89462e+09
3,2,2.52666e+09,2.71872e+09,1.26951e+09
3,3,2.7912e+09,1.03322e+09,7.63927e+08
3,4,2.37051e+09,2.08634e+09,1.67292e+09
3,5,4.37563e+08,1.73786e+09,1.69387e+09
3,6,4.5061e+08,5.99163e+07,1.66326e+09
3,7,1.16438e+09,2.78632e+09,5.39406e+08
3,8,1.42848e+09,7.713e+08,2.94107e+09
3,9,4.78706e+08,2.01007e+09,2.30311e+09
4,0,4.79579e+08,2.97631e+09,1.18899e+08
4,1,1.62672e+09,1.71678e+08,1.89463e+09
4,2,2.52661e+09,2.71863e+09,1.26955e+09
4,3,2.79115e+09,1.03326e+09,7.63968e+08
4,4,2.37048e+09,2.08638e+09,1.67286e+09
4,5,4.37621e+08,1.7379e+09,1.69398e+09
4,6,4.50668e+08,5.99735e+07,1.66328e+09
4,7,1.16434e+09,2.7863e+09,5.39418e+08
4,8,1.42847e+09,7.71316e+08,2.94099e+09
4,9,4.78745e+08,2.01001e+09,2.30301e+09
5,0,4.79659e+08,2.97627e+09,1.18976e+08
5,1,1.62667e+09,1.71757e+08,1.89465e+09
5,2,2.52654e+09,2.71851e+09,1.26959e+09
5,3,2.79109e+09,1.0333e+09,7.64017e+08
5,4,2.37045e+09,2.08642e+09,1.67279e+09
5,5,4.3769e+08,1.73794e+09,1.69411e+09
5,6,4.50736e+08,6.00422e+07,1.66331e+09
5,7,1.1643e+09,2.78627e+09,5.39432e+08
5,8,1.42845e+09,7.71335e+08,2.94089e+09
5,9,4.78792e+08,2.00993e+09,2.3029e+09
6,0,4.79752e+08,2.97621e+09,1.19065e+08
6,1,1.62661e+09,1.71849e+08,1.89467e+09
6,2,2.52645e+09,2.71838e+09,1.26963e+09
6,3,2.79102e+09,1.03334e+09,7.64075e+08
6,4,2.37041e+09,2.08648e+09,1.67271e+09
6,5,4.37771e+08,1.73799e+09,1.69427e+09
6,6,4.50816e+08,6.01223e+07,1.66333e+09
6,7,1.16424e+09,2.78624e+09,5.39449e+08
6,8,1.42843e+09,7.71357e+08,2.94078e+09
6,9,4.78846e+08,2.00984e+09,2.30276e+09
7,0,4.79858e+08,2.97615e+09,1.19167e+08
7,1,1.62654e+09,1.71955e+08,1.8947e+09
7,2,2.52636e+09,2.71824e+09,1.26969e+09
7,3,2.79094e+09,1.03339e+09,7.6414e+08
7,4,2.37036e+09,2.08654e+09,1.67262e+09
7,5,4.37863e+08,1.73805e+09,1.69445e+09
7,6,4.50908e+08,6.02139e+07,1.66337e+09
7,7,1.16418e+09,2.7862e+09,5.39468e+08
7,8,1.42841e+09,7.71382e+08,2.94066e+09
7,9,4.78908e+08,2.00974e+09,2.3026e+09
8,0,4.79978e+08,2.97607e+09,1.19282e+08
8,1,1.62646e+09,1.72074e+08,1.89473e+09
8,2,2.52625e+09,2.71807e+09,1.26975e+09
8,3,2.79086e+09,1.03345e+09,7.64214e+08
8,4,2.37031e+09,2.08661e+09,1.67251e+09
8,5,4.37967e+08,1.73811e+09,1.69465e+09
8,6,4.51011e+08,6.0317e+07,1.6634e+09
8,7,1.16411e+09,2.78616e+09,5.3949e+08
8,8,1.42839e+09,7.7141e+08,2.94052e+09
8,9,4.78977e+08,2.00963e+09,2.30242e+09
9,0,4.8011e+08,2.97599e+09,1.1941e+08
9,1,1.62637e+09,1.72206e+08,1.89476e+09
9,2,2.52614e+09,2.71788e+09,1.26982e+09
9,3,2.79076e+09,1.03352e+09,7.64296e+08
9,4,2.37025e+09,2.08669e+09,1.67239e+09
9,5,4.38082e+08,1.73818e+09,1.69487e+09
9,6,4.51125e+08,6.04315e+07,1.66344e+09
9,7,1.16403e+09,2.78612e+09,5.39514e+08
9,8,1.42836e+09,7.71441e+08,2.94036e+09
9,9,4.79055e+08,2.00951e+09,2.30222e+09
10,0,4.80257e+08,2.9759e+09,1.19551e+08
10,1,1.62627e+09,1.72352e+08,1.89479e+09
10,2,2.52601e+09,2.71768e+09,1.26989e+09
10,3,2.79065e+09,1.03359e+09,7.64386e+08
10,4,2.37018e+09,2.08677e+09,1.67226e+09
10,5,4.38209e+08,1.73826e+09,1.69511e+09
10,6,4.51251e+08,6.05575e+07,1.66348e+09
10,7,1.16394e+09,2.78607e+09,5.3954e+08
10,8,1.42833e+09,7.71476e+08,2.94019e+09
10,9,4.7914e+08,2.00937e+09,2.302e+09
11,0,4.80416e+08,2.97581e+09,1.19705e+08
11,1,1.62616e+09,1.7251e+08,1.89483e+09
11,2,2.52587e+09,2.71745e+09,1.26997e+09
11,3,2.79053e+09,1.03367e+09,7.64485e+08
11,4,2.37012e+09,2.08687e+09,1.67212e+09
11,5,4.38348e+08,1.73834e+09,1.69538e+09
11,6,4.51388e+08,6.06949e+07,1.66353e+09
11,7,1.16385e+09,2.78602e+09,5.39569e+08
11,8,1.4283e+09,7.71514e+08,2.94e+09
11,9,4.79233e+08,2.00922e+09,2.30176e+09
12,0,4.80589e+08,2.9757e+09,1.19871e+08
12,1,1.62605e+09,1.72682e+08,1.89487e+09
12,2,2.52571e+09,2.71721e+09,1.27006e+09
12,3,2.79041e+09,1.03376e+09,7.64591e+08
12,4,2.37004e+09,2.08697e+09,1.67197e+09
